140	61543,61	50	50	50	T	2,59	NA	81,12	2,87	5,46	0,00
141	61864,04	50	50	50	T	2,59	NA	81,12	2,87	5,46	0,00
142	62182,93	50	50	50	T	2,59	NA	81,12	2,87	5,46	0,00
143	62501,81	50	50	50	T	2,59	NA	81,13	2,87	5,46	0,00
144	62820,70	50	50	50	T	2,59	NA	81,12	2,87	5,46	0,00
145	63139,59	50	50	50	T	2,59	NA	81,12	2,87	5,46	0,00
146	63458,48	50	50	50	T	2,59	NA	81,13	2,87	5,46	0,00
147	63778,97	50	50	50	T	2,59	NA	81,12	2,87	5,46	0,00
148	64097,86	40	40	40	T	2,59	NA	81,13	2,87	5,46	0,00
149	64416,76	40	40	40	T	2,59	NA	81,13	2,87	5,46	0,00
150	64735,66	40	40	40	T	2,59	NA	81,13	2,87	5,46	0,00
151	65054,55	30	30	30	T	2,59	NA	81,13	2,87	5,46	0,00
152	65373,45	30	30	30	T	2,59	NA	81,12	2,87	5,46	0,00
153	65693,99	20	20	20	T	2,59	NA	81,12	2,87	5,46	0,00
154	66012,90	20	20	20	T	2,59	NA	81,13	2,87	5,46	0,00
155	66331,80	20	20	20	T	2,59	NA	81,13	2,87	5,46	0,00
156	66650,70	20	20	20	T	2,59	NA	81,13	2,87	5,46	0,00
157	66969,61	20	20	20	T	2,59	NA	81,13	2,87	5,46	0,00
158	67288,52	20	20	20	T	2,59	NA	81,13	2,87	5,46	0,00
159	67609,12	20	20	20	T	2,56	NA	81,13	2,90	5,46	0,00
160	67928,03	20	20	20	T	2,56	NA	81,13	2,90	5,46	0,00
161	68246,94	20	20	20	T	2,61	NA	81,13	2,85	5,46	0,00
162	68565,85	20	20	20	T	2,54	NA	81,13	2,90	5,44	0,00
163	68884,77	20	20	20	T	2,53	NA	81,12	2,91	5,44	0,00
164	69203,68	20	20	20	T	2,53	NA	81,13	2,91	5,44	0,00
165	69522,59	20	20	20	T	2,53	NA	81,12	2,91	5,44	0,00
166	69843,26	20	20	20	T	2,53	NA	81,12	2,91	5,44	0,00
167	70162,17	20	20	20	T	2,54	NA	81,13	2,90	5,44	0,00
168	70481,09	20	20	20	T	2,54	NA	81,13	2,90	5,44	0,00
169	70800,02	20	20	20	T	2,53	NA	81,12	2,91	5,44	0,00
170	71118,94	20	20	20	T	2,53	NA	81,13	2,91	5,44	0,00
171	71437,85	20	20	20	T	2,53	NA	81,12	2,91	5,44	0,00
172	71758,58	20	20	20	T	2,53	NA	81,12	2,91	5,44	0,00
173	72077,51	20	20	20	T	2,53	NA	81,12	2,91	5,44	0,00
174	72396,43	20	20	20	T	2,53	NA	81,13	2,91	5,44	0,00
175	72715,36	20	20	20	T	2,53	NA	81,13	2,91	5,44	0,00
176	73034,29	20	20	20	T	2,51	NA	81,14	2,91	5,42	0,00
177	73353,22	20	20	20	T	2,50	NA	81,13	2,92	5,42	0,00
178	73673,99	20	20	20	T	2,53	NA	81,13	2,91	5,44	0,00
